Symbols,Brexit,2_years_later,Gain/(loss),% Gain/(loss)
CURY.L,127.3150634765625,106.30000305175781,-21.015060424804688,-16.506342494714588
CWK.L,3386.558837890625,3664.0,277.441162109375,8.192421138685543
DCC.L,5707.6962890625,6206.0,498.3037109375,8.730382376728516
DEC.L,64.10336303710938,106.19999694824219,42.09663391113281,65.66993043214147
DGE.L,2812.519287109375,3693.296875,880.777587890625,31.31632170230777
DLG.L,260.25433349609375,304.8999938964844,44.645660400390625,17.154627091372035
DLN.L,3818.913818359375,3405.0,-413.913818359375,-10.838522104622788
DNLM.L,1024.01611328125,1291.72802734375,267.7119140625,26.143330225993417
DOM.L,282.9790344238281,386.6000061035156,103.6209716796875,36.617897114063425
DPH.L,2747.5673828125,4142.1875,1394.6201171875,50.758359045590396
DPLM.L,1880.59033203125,2752.0,871.40966796875,46.33702796012618
DRX.L,237.72625732421875,601.0,363.27374267578125,152.81178729042824
DSCV.L,554.095458984375,851.0,296.904541015625,53.58364451494223
EDIN.L,525.1564331054688,633.0741577148438,107.917724609375,20.549633938827053
EDV.L,2319.103515625,1635.0,-684.103515625,-29.498619230053368
ELM.L,120.21096801757812,142.39999389648438,22.18902587890625,18.45840379195816
EMG.L,132.02713012695312,192.5,60.472869873046875,45.80336618307015
ENOG.L,752.7877807617188,943.5,190.71221923828125,25.33412790591612
ENT.L,848.2100219726562,1591.0,742.7899780273438,87.57146918635313
EOT.L,875.2689819335938,737.0,-138.26898193359375,-15.797313144599034
ERM.L,1181.5565185546875,912.0,-269.5565185546875,-22.813679610046623
ESNT.L,379.8414611816406,343.5,-36.341461181640625,-9.567534062391914
EWI.L,199.10000610351562,227.5,28.399993896484375,14.264185346995276
EXPN.L,2539.4833984375,3081.0,541.5166015625,21.323888232373786
EZJ.L,1342.1453857421875,618.5999755859375,-723.54541015625,-53.90961499719642
FAN.L,234.65216064453125,500.0,265.34783935546875,113.08135353479128
FCIT.L,708.0657958984375,865.0,156.9342041015625,22.163788310440093
FCSS.L,205.6994171142578,300.0,94.30058288574219,45.84387462476959
FDM.L,867.8331909179688,1070.0,202.16680908203125,23.295583897659533
FEML.L,725.9276733398438,786.0,60.07232666015625,8.275249569116967
FEV.L,235.72096252441406,319.0,83.27903747558594,35.32950000870651
FGP.L,122.73775482177734,101.0999984741211,-21.63775634765625,-17.629258722449
FGT.L,834.5567016601562,868.0,33.44329833984375,4.007312897172366
FLTR.L,8309.673828125,11185.0,2875.326171875,34.60215444489703
FOUR.L,3170.74755859375,2800.0,-370.74755859375,-11.692749162225304
FRAS.L,471.3999938964844,732.0,260.6000061035156,55.28214032194945
FRES.L,618.00732421875,624.7999877929688,6.79266357421875,1.0991234744354612
FSFL.L,97.2300033569336,100.5999984741211,3.3699951171875,3.466003292025168
FSV.L,247.30654907226562,302.0,54.693450927734375,22.115650043603317
