Ticker,Name,Market,
DLG,DIRECT LINE INSURANCE GROUP PLC ORD 10 10/11P,FTSE 250,
DLN,DERWENT LONDON PLC ORD 5P,FTSE 250,
DNLM,DUNELM GROUP PLC ORD 1P,FTSE 250,
DOCS,DR. MARTENS PLC ORD GBP0.01,FTSE 250,
DOM,DOMINO'S PIZZA GROUP PLC ORD 25/48P,FTSE 250,
DPH,DECHRA PHARMACEUTICALS PLC ORD 1P,FTSE 100,
DPLM,DIPLOMA PLC ORD 5P,FTSE 250,
DRX,DRAX GROUP PLC ORD 11 16/29P,FTSE 250,
DSCV,DISCOVERIE GROUP PLC ORD 5P,FTSE 250,
EBOX,TRITAX EUROBOX PLC ORD EUR0.01 (GBP),FTSE 250,
EDIN,EDINBURGH INV TST PLC ORD 25P,FTSE 250,
EDV,ENDEAVOUR MINING PLC ORD USD0.01,FTSE 100,
ELM,ELEMENTIS PLC ORD 5P,FTSE 250,
EMG,MAN GROUP PLC ORD USD0.0342857142,FTSE 250,
ENOG,ENERGEAN PLC ORD 1P,FTSE 250,
ENT,ENTAIN PLC ORD EUR0.01,FTSE 100,
EOT,EUROPEAN OPPORTUNITIES TRUST PLC ORD 1P,FTSE 250,
ERM,EUROMONEY INSTITUTIONAL INVEST.PLC ORD 0.25P,FTSE 250,
ESNT,ESSENTRA PLC ORD 25P,FTSE 250,
EWI,EDINBURGH WORLDWIDE INV TRUST PLC ORD 1P,FTSE 250,
EXPN,EXPERIAN PLC ORD USD0.10,FTSE 100,
EZJ,EASYJET PLC ORD 27 2/7P,FTSE 250,
FAN,VOLUTION GROUP PLC ORD GBP0.01,FTSE 250,
FCIT,F&C INVESTMENT TRUST PLC ORD 25P,FTSE 100,
FCSS,FIDELITY CHINA SPEC. SITUATION PLC ORD 1P,FTSE 250,
FDM,FDM GROUP (HOLDINGS) PLC ORD 1P,FTSE 250,
FEML,FIDELITY EMERGING MARKETS LIMITED PTG NPV,FTSE 250,
